motrpac_comp_id	motrpac_comp_name	super_class	main_class	sub_class	multicomp_flag	formula	monoisotopic_mass	hmdb_id	refmet_id	cas_id	kegg_id	chebi_id	pubchem_id	lipidmaps_id	inchi_key	notes_comments
M05030105.001	TG(56:9)>TG(18:2_18:3_20:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C59H96O6	900.7207	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030106.000	TG(56:10)	Glycerolipids	Triadylglycerols	NA	FALSE	C59H94O6	898.705	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030106.001	TG(56:10)>TG(18:2_18:3_20:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C59H94O6	898.705	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030107.000	TG(57:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H116O6	932.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030108.000	TG(57:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H114O6	930.8615	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030108.001	TG(57:1)>TG(16:0_18:1_23:0)_and_TG(57:1)>TG(18:0_18:1_21:0)	Glycerolipids	Triadylglycerols	NA	TRUE	C60H114O6	930.8615	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030109.000	TG(57:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H112O6	928.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030110.000	TG(57:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H110O6	926.8302	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030111.000	TG(57:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H108O6	924.8146	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030112.000	TG(57:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H106O6	922.7989	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030113.000	TG(57:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H104O6	920.7833	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030114.000	TG(57:7)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H102O6	918.7676	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030114.001	TG(57:7)>TG(17:0_18:1_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H102O6	918.7676	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030115.000	TG(57:8)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H100O6	916.752	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030115.001	TG(57:8)>TG(17:0_18:2_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C60H100O6	916.752	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030116.000	TG(58:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H118O6	946.8928	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030117.000	TG(58:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H116O6	944.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030117.001	TG(58:1)>TG(16:0_18:1_24:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H116O6	944.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030117.002	TG(58:1)>TG(16:0_18:1_24:0)_and_TG(58:1)>TG(16:0_16:0_26:1)_and_TG(58:1)>TG(18:0_18:1_22:0)	Glycerolipids	Triadylglycerols	NA	TRUE	C61H116O6	944.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030118.000	TG(58:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H114O6	942.8615	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030119.000	TG(58:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H112O6	940.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030119.001	TG(58:3)>TG(18:1_20:1_20:1)_and_TG(58:3)>TG(18:1_18:1_22:1)	Glycerolipids	Triadylglycerols	NA	TRUE	C61H112O6	940.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030120.000	TG(58:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H110O6	938.8302	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030121.000	TG(58:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H108O6	936.8146	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030122.000	TG(58:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H106O6	934.7989	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030123.000	TG(58:7)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H104O6	932.7833	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030124.000	TG(58:8)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H102O6	930.7676	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030125.000	TG(58:9)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H100O6	928.752	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030126.000	TG(58:10)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H98O6	926.7363	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030126.001	TG(58:10)>TG(18:2_18:2_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H98O6	926.7363	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030127.000	TG(58:11)	Glycerolipids	Triadylglycerols	NA	FALSE	C61H96O6	924.7207	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030128.000	TG(59:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C62H112O6	952.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030128.001	TG(59:5)>TG(18:2_18:2_23:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C62H112O6	952.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030129.000	TG(60:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H122O6	974.9241	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030130.000	TG(60:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H120O6	972.9085	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030131.000	TG(60:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H118O6	970.8928	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030132.000	TG(60:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H116O6	968.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030133.000	TG(60:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H114O6	966.8615	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030134.000	TG(60:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H112O6	964.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030134.001	TG(60:5)>TG(18:2_18:2_24:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H112O6	964.8459	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030135.000	TG(60:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H110O6	962.8302	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030135.001	TG(60:6)>TG(18:1_20:1_22:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H110O6	962.8302	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030136.000	TG(60:7)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H108O6	960.8146	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030137.000	TG(60:8)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H106O6	958.7989	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030138.000	TG(60:9)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H104O6	956.7833	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030139.000	TG(60:10)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H102O6	954.7676	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030140.000	TG(60:11)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H100O6	952.752	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030141.000	TG(60:12)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H98O6	950.7363	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030141.001	TG(60:12)>TG(18:2_20:4_22:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C63H98O6	950.7363	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030142.000	TG(61:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C64H118O6	982.8928	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030142.001	TG(61:3)>TG(18:1_18:2_25:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C64H118O6	982.8928	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030143.000	TG(61:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C64H116O6	980.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030143.001	TG(61:4)>TG(18:1_18:2_25:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C64H116O6	980.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030144.000	TG(62:2)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H122O6	998.9241	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030145.000	TG(62:3)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H120O6	996.9085	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030146.000	TG(62:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H118O6	994.8928	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030147.000	TG(62:5)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H116O6	992.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030147.001	TG(62:5)>TG(18:2_18:2_26:1)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H116O6	992.8772	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030148.000	TG(62:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H114O6	990.8615	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030149.000	TG(62:11)	Glycerolipids	Triadylglycerols	NA	FALSE	C65H104O6	980.7833	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030150.000	TG(64:4)	Glycerolipids	Triadylglycerols	NA	FALSE	C67H122O6	1022.9241	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030151.000	TG(64:6)	Glycerolipids	Triadylglycerols	NA	FALSE	C67H118O6	1018.8928	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030152.000	TG(30:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C33H62O6	554.4546	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030152.001	TG(30:0)>TG(10:0/10:0/10:0)_and_TG(30:0)>TG(8:0_10:0_12:0)	Glycerolipids	Triadylglycerols	NA	TRUE	C33H62O6	554.4546	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030153.000	TG(32:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C35H66O6	582.4859	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030153.001	TG(32:0)>TG(10:0_10:0_12:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C35H66O6	582.4859	NA	NA	NA	NA	NA	NA	NA	NA	NA
M05030154.000	TG(34:0)	Glycerolipids	Triadylglycerols	NA	FALSE	C37H73NO6	627.5432	NA	NA	NA	NA	NA	NA	NA	NA	NA
