motrpac_comp_id	motrpac_comp_name	super_class	main_class	sub_class	multicomp_flag	formula	monoisotopic_mass	hmdb_id	refmet_id	cas_id	kegg_id	chebi_id	pubchem_id	lipidmaps_id	inchi_key	notes_comments
M01010001.000	piperine	Alkaloids and derivatives	Alkaloids	Other alkaloids	FALSE	C17H19NO3	285.1365	HMDB0029377	43799	94-62-2	C03882	28821	638024	NA	MXXWOMGUGJBKIW-YPCIICBESA-N	NA
M01010002.000	trigonelline	Alkaloids and derivatives	Alkaloids	Other alkaloids	FALSE	C7H7NO2	137.0477	HMDB0000875	37479	535-83-1	C01004	18123	5570	NA	WWNNZCOKKKDOPX-UHFFFAOYSA-N	NA
M01020001.000	levorphanol	Alkaloids and derivatives	Aromatic heteropolycyclic compounds	Morphinans	FALSE	C17H23NO	257.178	HMDB0014992	43134	77-07-6	C08014	119572	5359272	NA	JAQUASYNZVUNQP-USXIJHARSA-N	NA
M01030001.000	quinine	Alkaloids and derivatives	Cinchona alkaloids	NA	FALSE	C20H24N2O2	324.1838	HMDB0014611	42816	130-95-0	C06526	15854	3034034	NA	LOUPRKONTZGTKE-WZBLMQSHSA-N	medicine/pesticide
M01040001.000	harman	Alkaloids and derivatives	Harmala alkaloids	NA	FALSE	C12H10N2	182.0844	HMDB0035196	46865	486-84-0	C09209	5623	5281404	NA	PSFDQSOCUJVVGF-UHFFFAOYSA-N	NA
M01050001.000	nor-psi-tropine	Alkaloids and derivatives	Tropane alkaloids	NA	FALSE	C7H13NO	127.0997	HMDB0031667	NA	501-33-7	NA	NA	68147	NA	YYMCYJLIYNNOMK-UHFFFAOYSA-N	NA
M02010001.000	4-aminohippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C9H10N2O3	194.0691	HMDB0001867	37899	61-78-9	NA	104011	2148	NA	HSMNQINEKMPTIC-UHFFFAOYSA-N	NA
M02010002.000	4-hydroxyhippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C9H9NO4	195.0532	HMDB0013678	42473	2482-25-9	NA	613375	151012	NA	ZMHLUFWWWPBTIU-UHFFFAOYSA-N	NA
M02010003.000	hippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C9H9NO3	179.0582	HMDB0000714	37382	495-69-2	C01586	18089	464	NA	QIAFMBKCNZACKA-UHFFFAOYSA-N	NA
M02010004.000	methylhippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C10H11NO3	193.0739	HMDB0000859	NA	1205-08-09	NA	468391	14566	NA	XTKVNQKOTKPCKM-UHFFFAOYSA-N	NA
M02010005.000	p-methylhippurate	Benzenoids	Benzamides	Hippuric acids	FALSE	C10H11NO3	193.0739	HMDB0013292	NA	27115-50-0	NA	103973	97479	NA	NRSCPTLHWVWLLH-UHFFFAOYSA-N	NA
M02020001.000	4-aminophenol	Benzenoids	Benzene and substituted derivatives	Aniline and substituted anilines	FALSE	C6H7NO	109.0528	HMDB0001169	37637	123-30-8	C02372	17602	403	NA	PLIKAWJENQZMHA-UHFFFAOYSA-N	NA
M02020002.000	sulfamethoxazole	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	FALSE	C10H11N3O3S	253.0521	HMDB0015150	43260	723-46-6	C07315	9332	5329	NA	JLKIGFTWXXRPMT-UHFFFAOYSA-N	medicine/pesticide
M02020003.000	sulfapyridine	Benzenoids	Benzene and substituted derivatives	Benzenesulfonamides	FALSE	C11H11N3O2S	249.0572	HMDB0015028	43165	144-83-2	NA	132842	5336	NA	GECHUMIMRBOMGK-UHFFFAOYSA-N	medicine/pesticide
M02020004.000	3-methoxyanthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C8H9NO3	167.0582	HMDB0060374	NA	NA	NA	27440	255720	NA	SXOPCLUOUFQBJV-UHFFFAOYSA-N	NA
M02020005.000	4-acetamidobenzoate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C9H9NO3	179.0582	NA	NA	NA	NA	NA	19266	NA	QCXJEYYXVJIFCE-UHFFFAOYSA-N	medicine/pesticide
M02020006.000	anthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C7H7NO2	137.0477	HMDB0001123	37613	118-92-3	C00108	30754	227	NA	RWZYAGGXGHYGMB-UHFFFAOYSA-N	NA
M02020007.000	ethyl-N-ethylanthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C11H15NO2	193.1103	HMDB0037698	NA	38446-21-8	NA	NA	61980	NA	VKRBJLSSQUIOHL-UHFFFAOYSA-N	NA
M02020008.000	methyl N-methylanthranilate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C9H11NO2	165.079	HMDB0034169	NA	85-91-6	NA	NA	6826	NA	GVOWHGSUZUUUDR-UHFFFAOYSA-N	NA
M02020009.000	n-acetylprocainamide	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C15H23N3O2	277.179	HMDB0041944	NA	32795-44-1	NA	60728	4342	NA	KEECCEWTUVWFCV-UHFFFAOYSA-N	medicine/pesticide
M02020010.000	procaine	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C13H20N2O2	236.1525	HMDB0014859	NA	59-46-1	C07375	8430	4914	NA	MFDFERRIHVXMIY-UHFFFAOYSA-N	medicine/pesticide
M02020011.000	procarbazine	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C12H19N3O	221.1528	HMDB0015299	43386	671-16-9	C07402	366225	4915	NA	CPTBDICYNRMXFX-UHFFFAOYSA-N	medicine/pesticide
M02020012.000	econazole	Benzenoids	Benzene and substituted derivatives	Benzylethers	FALSE	C18H15Cl3N2O	380.025	HMDB0015259	43352	27220-47-9	C08068	4754	3198	NA	LEZWWPYKPKIXLL-UHFFFAOYSA-N	medicine/pesticide
M02020013.000	benzidine	Benzenoids	Benzene and substituted derivatives	Biphenyls and derivatives	FALSE	C12H12N2	184.1	HMDB0041835	NA	92-87-5	C16444	80495	7111	NA	HFACYLZERDEVSX-UHFFFAOYSA-N	NA
M02020014.000	O-desmethyltramadol	Benzenoids	Benzene and substituted derivatives	Cyclohexylphenols	FALSE	C15H23NO2	249.1729	HMDB0060997	NA	144830-14-8	NA	NA	9838803	NA	UWJUQVWARXYRCG-UHFFFAOYSA-N	medicine/pesticide
M02020015.000	flunarizine	Benzenoids	Benzene and substituted derivatives	Diphenylmethanes	FALSE	C26H26F2N2	404.2064	HMDB0015589	43629	52468-60-7	NA	138764	941361	NA	SMANXXCATUTDDT-QPJJXVBHSA-N	medicine/pesticide
M02020016.000	desglymidodrine	Benzenoids	Benzene and substituted derivatives	Methoxybenzenes	FALSE	C10H15NO3	197.1052	HMDB0060558	NA	NA	NA	73248	43260	NA	VFRCNXKYZVQYLX-UHFFFAOYSA-N	medicine/pesticide
M02020017.000	hordenine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C10H15NO	165.1154	HMDB0004366	38519	539-15-1	C06199	5764	68313	NA	KUBCEEMXQZUPDQ-UHFFFAOYSA-N	NA
M02020018.000	m-tyramine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C8H11NO	137.0841	HMDB0004989	NA	0588-05-06	NA	341165	11492	NA	GHFGJTVYMNRGBY-UHFFFAOYSA-N	NA
M02020019.000	tyramine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C8H11NO	137.0841	HMDB0000306	37197	51-67-2	C00483	15760	5610	NA	DZGWFCGJZKJUFP-UHFFFAOYSA-N	NA
M02020020.000	atenolol	Benzenoids	Benzene and substituted derivatives	Phenylacetamides	FALSE	C14H22N2O3	266.163	HMDB0001924	54419	29122-68-7	C13235	2904	2249	NA	METKIMKYRPQLGS-UHFFFAOYSA-N	medicine/pesticide
M02020021.000	verapamil	Benzenoids	Benzene and substituted derivatives	Phenylbutylamines	FALSE	C27H38N2O4	454.2832	HMDB0001850	37889	52-53-9	C07188	9948	2520	NA	SGTNSNPWRIOYBX-UHFFFAOYSA-N	medicine/pesticide
M02020022.000	triprolidine	Benzenoids	Benzene and substituted derivatives	Styrenes	FALSE	C19H22N2	278.1783	HMDB0014571	42785	0486-12-4	NA	165539	5282443	NA	CBEQULMOCCWAQT-WOJGMQOQSA-N	medicine/pesticide
M02020023.000	"2,6-dimethylaniline"	Benzenoids	Benzene and substituted derivatives	Xylenes	FALSE	C8H11N	121.0891	HMDB0060677	NA	NA	C11004	28738	6896	NA	UFFBMTHBGFGIHF-UHFFFAOYSA-N	NA
M02020024.000	trimethylbenzene	Benzenoids	Benzene and substituted derivatives	NA	FALSE	C9H12	120.0939	HMDB0013733	NA	95-63-6	C14533	34039	7247	NA	GWHJZXXIDMPWGX-UHFFFAOYSA-N	NA
M02020025.000	2-hydroxyphenethylamine	Benzenoids	Benzene and substituted derivatives	Benzyl alcohols	FALSE	C8H11NO	137.0841	HMDB0001065	37582	7568-93-6	C02735	16343	1000	NA	ULSIYEODSMZIPX-UHFFFAOYSA-N	NA
M02020026.000	phenylethylamine	Benzenoids	Benzene and substituted derivatives	Phenethylamines	FALSE	C8H11N	121.0891	HMDB0012275	41966	64-04-0	C05332	18397	1001	NA	BHHGXPLMPWCGHP-UHFFFAOYSA-N	NA
M02020027.000	phenylpyruvate	Benzenoids	Benzene and substituted derivatives	Phenylpyruvic acid derivatives	FALSE	C9H8O3	164.0473	HMDB0000205	37133	0156-06-09	C00166	30851	997	NA	BTNMPGBKDVTSJY-UHFFFAOYSA-N	NA
M02020028.000	4-Hydroxystyrene	Benzenoids	Benzene and substituted derivatives	Styrenes	FALSE	C8H8O	120.0575	HMDB0062775	38454	131351-90-1	NA	82931	62453	NA	FUGYGGDSWSUORM-UHFFFAOYSA-N	NA
M02020029.000	methyl-3-hydroxybenzoate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C8H8O3	152.0473	NA	NA	NA	NA	NA	NA	NA	NA	NA
M02020030.000	m-hydroxybenzoate	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C7H6O3	138.0317	HMDB0002466	38164	99-06-9	C00587	30764	7420	NA	IJFXRHURBJZNAO-UHFFFAOYSA-N	NA
M02020031.000	"3,4-dihydroxybenzoate"	Benzenoids	Benzene and substituted derivatives	Benzoic acids and derivatives	FALSE	C7H6O4	154.0266	HMDB0001856	37892	99-50-3	C00230	36062	72	NA	YQUVCSBJEUQKSH-UHFFFAOYSA-N	NA
M02030001.000	monoethylhexyl phthalate	Benzenoids	Benzoic acids	Benzoic acid esters	FALSE	C16H22O4	278.1518	HMDB0013248	42273	4376-20-9	C03343	17243	20393	NA	DJDSLBVSSOQSLW-UHFFFAOYSA-N	NA
M02030002.000	3-hydroxyanthranilate	Benzenoids	Benzoic acids	Hydroxybenzoic acids	FALSE	C7H7NO3	153.0426	HMDB0001476	37817	548-93-6	C00632	15793	86	NA	WJXSWCUQABXPFS-UHFFFAOYSA-N	NA
M02030003.000	2-pyrocatechuate	Benzenoids	Benzoic acids	Salicylic acids	FALSE	C7H6O4	154.0266	HMDB0000397	37234	303-38-8	C00196	18026	19	NA	GLDQAMYCGOIJDV-UHFFFAOYSA-N	NA
M02030004.000	salicylate	Benzenoids	Benzoic acids	Salicylic acids	FALSE	C7H6O3	138.0317	HMDB0001895	37916	69-72-7	C00805	16914	338	NA	YGSDEFSMJLZEOE-UHFFFAOYSA-N	NA
M02030005.000	diethylphthalate	Benzenoids	Benzoic acids	Benzoic acid esters	FALSE	C12H14O4	222.08	HMDB0094660	NA	84-66-2	NA	34698	6781	NA	FLKPEMZONWLCSK-UHFFFAOYSA-N	NA
M02030006.000	bis(2-ethylhexyl)phthalate	Benzenoids	Benzoic acids	Benzoic acid esters	FALSE	C24H38O4	390.28	NA	NA	117-81-7	C03690	17747	8343	NA	BJQHLKABXJIVAM-UHFFFAOYSA-N	NA
M02030007.000	benzylbutylphthalate	Benzenoids	Benzoic acids	Benzoic acid esters	FALSE	C19H20O4	312.14	NA	NA	85-68-7	C14211	34595	2347	NA	IRIAEXORFWYRCZ-UHFFFAOYSA-N	NA
M02030008.000	phthalate	Benzenoids	Benzoic acids	Benzoic acid esters	FALSE	C8H6O4	166.0266	HMDB0002107	38024	88-99-3	C01606	29069	1017	NA	XNGIFLGASWRNHJ-UHFFFAOYSA-N	NA
M02040001.000	thyroxine	Benzenoids	Diarylethers	Diarylethers	FALSE	C15H11I4NO4	776.6867	HMDB0000248	37160	51-48-9	C01829	18332	5819	NA	XUIIKFGFIJCVMT-LBPRGKRZSA-N	NA
M02050001.000	rasagiline	Benzenoids	Indanes	NA	FALSE	C12H13N	171.1048	HMDB0015454	NA	136236-51-6	NA	63620	3052776	NA	RUOKEQAAGRXIBM-GFCCVEGCSA-N	medicine/pesticide
M02060001.000	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Benzenoids	Phenols	Aminophenols	FALSE	C13H16N2O5S	312.0796	NA	NA	NA	NA	NA	83967	NA	DVPRQNKJGQEICH-JTQLQIEISA-N	medicine/pesticide
M02060002.000	acetaminophen	Benzenoids	Phenols	Aminophenols	FALSE	C8H9NO2	151.0633	HMDB0001859	37895	103-90-2	NA	46195	1983	NA	RZVAJINKPMORJF-UHFFFAOYSA-N	medicine/pesticide
M02060003.000	5-hydroxydopamine	Benzenoids	Phenols	Benzenediols	FALSE	C8H11NO3	169.0739	HMDB0004817	NA	9956	NA	144646	114772	NA	LCAINUZZHIZKKS-UHFFFAOYSA-N	NA
M02060004.000	pyrocatechol	Benzenoids	Phenols	Catechols	FALSE	C6H6O2	110.0368	HMDB0000957	37520	120-80-9	C00090	18135	289	NA	YCIMNLLNPGFGHC-UHFFFAOYSA-N	NA
M02060005.000	3-Methoxytyramine	Benzenoids	Phenols	Methoxyphenols	FALSE	C9H13NO2	167.0946	HMDB0000022	37030	554-52-9	C05587	742324	1669	NA	DIVQKHQLANKJQO-UHFFFAOYSA-N	NA
M02060006.000	metanephrine	Benzenoids	Phenols	Methoxyphenols	FALSE	C10H15NO3	197.1052	HMDB0004063	NA	5001-33-2	C05588	144365	21100	NA	JWJCTZKFYGDABJ-UHFFFAOYSA-N	NA
M02060007.000	normetanephrine	Benzenoids	Phenols	Methoxyphenols	FALSE	C9H13NO3	183.0895	HMDB0000819	70035	97-31-4	C05589	144308	688100	NA	YNYAYWLBAHXHLL-QMMMGPOBSA-N	NA
M02060008.000	vanillylamine	Benzenoids	Phenols	Methoxyphenols	FALSE	C8H11NO2	153.079	HMDB0012309	NA	1196-92-5	C16666	46958	70966	NA	WRPWWVNUCXQDQV-UHFFFAOYSA-N	NA
M02060009.000	aspirin	Benzenoids	Phenols	Phenol esters	FALSE	C9H8O4	180.0423	HMDB0001879	37905	50-78-2	C01405	15365	2244	NA	BSYNRYMUTXBXSQ-UHFFFAOYSA-N	NA
M02060010.000	alpha-Hydroxymetoprolol	Benzenoids	Phenols	Phenol ethers	FALSE	C15H25NO4	283.1784	HMDB0060994	71610	NA	NA	NA	114962	NA	OFRYBPCSEMMZHR-UHFFFAOYSA-N	NA
M02060011.000	4-hydroxyphenylethanol	Benzenoids	Phenols	Tyrosols	FALSE	C8H10O2	138.0681	HMDB0004284	NA	501-94-0	C06044	1879	10393	NA	YCCILVSKPBXVIP-UHFFFAOYSA-N	NA
M02060012.000	metoprolol	Benzenoids	Phenols	Tyrosols and derivatives	FALSE	C15H25NO3	267.1834	HMDB0001932	37939	37350-58-6	C07202	6904	4171	NA	IUBSYMUCCVWXPE-UHFFFAOYSA-N	medicine/pesticide
M02060013.000	"5-henicosylbenzene-1,3-diol"	Benzenoids	Phenols	Benzenediols	FALSE	C27H48O2	404.3649	HMDB0031035	NA	NA	NA	NA	NA	NA	NA	found in barley
M02070001.000	prtho-hydroxyphenylacetate	Benzenoids	Phenylacetic acids	Phenylacetic acids	FALSE	C8H8O3	152.0473	HMDB0000669	37358	614-75-5	C05852	28478	11970	NA	CCVYRRGZDBSHFU-UHFFFAOYSA-N	NA
M02070002.000	phenylacetate	Benzenoids	Phenylacetic acids	Phenylacetic acids	FALSE	C8H8O2	136.0524	HMDB0000209	37136	103-82-2	C07086	30745	999	NA	WLJVXDMOQOGPHL-UHFFFAOYSA-N	NA
M02070003.000	vanillylmandelate	Benzenoids	Phenylacetic acids	Phenylacetic acids	FALSE	C9H10O5	198.0528	HMDB0000291	37185	55-10-7	C05584	1127735	736172	NA	CGQCWMIAEPEHNQ-QMMMGPOBSA-N	NA
M02080001.000	trans-cinnamate	Benzenoids	Phenylpropanoids	Cinnamic acids	FALSE	C9H8O2	148.0524	HMDB0000930	37506	0140-10-3	C00423	35697	444539	NA	WBYWAXJHAXSJNI-VOTSOKGWSA-N	NA
M02080002.000	caffeate	Benzenoids	Phenylpropanoids	Hydroxycinnamic acids	FALSE	C9H8O4	180.0423	HMDB0001964	37954	331-39-5	C01481	17395	1549111	NA	QAIPRVGONGVQAS-RQOWECAXSA-N	NA
M02080003.000	trans-ferulate	Benzenoids	Phenylpropanoids	Hydroxycinnamic acids	FALSE	C10H10O4	194.0579	HMDB0000954	37517	537-98-4	C01494	17620	445858	NA	KSEBMYQBYZTDHS-HWKANZROSA-N	NA
M02080004.000	rosmarinate	Benzenoids	Phenylpropanoids	Coumaric acids	FALSE	C18H16O8	360.0845	HMDB0003572	38366	537-15-5	C01850	50371	5281792	NA	DOUMFZQKYFQNTF-WUTVXBCWSA-N	NA
M02080005.000	m-coumarate	Benzenoids	Phenylpropanoids	Coumaric acids	FALSE	C9H8O3	164.0473	HMDB0001713	NA	588-30-7	C12621	32357	637541	NA	KKSDGJDHHZEWEP-SNAWJCMRSA-N	NA
M02080006.000	warfarin	Benzenoids	Phenylpropanoids	Coumaric acids	FALSE	C19H16O4	308.1049	HMDB0001935	42996	81-81-2	C01541	10033	54678486	NA	PJVWKTKQMONHTI-UHFFFAOYSA-N	medicine/pesticide
M02080007.000	3-(2-hydroxyphenyl)propanoate	Benzenoids	Phenylpropanoids	Phenylpropanoic acids	FALSE	C9H10O3	166.063	HMDB0033752	46190	495-78-3	C01198	16104	873	NA	CJBDUOMQLFKVQC-UHFFFAOYSA-N	NA
M02080008.000	3-methoxytyrosine	Benzenoids	Phenylpropanoids	Phenylpropanoic acids	FALSE	C10H13NO4	211.0845	HMDB0001434	71498	7636-26-2	NA	NA	9307	NA	PFDUUKDQEHURQC-ZETCQYMHSA-N	NA
M02080009.000	hydrocinnamate	Benzenoids	Phenylpropanoids	Phenylpropanoic acids	FALSE	C9H10O2	150.0681	HMDB0000764	37413	501-52-0	C05629	28631	107	NA	XMIIGOLPHOKFCH-UHFFFAOYSA-N	NA
M02080010.000	ibuprofen	Benzenoids	Phenylpropanoids	Phenylpropanoic acids	FALSE	C13H18O2	206.1307	HMDB0001925	56807	15687-27-1	C01588	5855	114864	NA	HEFNNWSXXWATRW-SNVBAGLBSA-N	NA
M02080011.000	phenyllactate	Benzenoids	Phenylpropanoids	Phenylpropanoic acids	FALSE	C9H10O3	166.063	HMDB0000779	52332	0828-01-03	C01479	25998	444718	NA	VOXXWSYKYCBWHO-QMMMGPOBSA-N	NA
M02080012.000	hydroxyphenyllactic acid	Benzenoids	Phenylpropanoids	Phenylpropanoic acids	FALSE	C9H10O4	182.0578	HMDB0000755	50341	306-23-0	C03672	17385	9378	NA	JVGVDSSUAVXRDY-UHFFFAOYSA-M	NA
M02090001.000	diflufenican	Benzenoids	Other	NA	FALSE	C19H11F5N2O2	394.074	NA	NA	NA	NA	NA	91735	NA	WYEHFWKAOXOVJD-UHFFFAOYSA-N	medicine/pesticide
M03010001.000	N-acetyl-D-galactosamine	Carbohydrates	Aminosaccharides	Acylaminosugars	FALSE	C8H15NO6	221.0899	HMDB0000212	49860	1811-31-0	C01074	40356	35717	NA	OVRNDRQMDRJTHS-KEWYIRBNSA-N	NA
M03010002.000	N-acetyl-D-glucosamine	Carbohydrates	Aminosaccharides	Acylaminosugars	FALSE	C8H15NO6	221.0899	HMDB0000781	67000	45233-43-0	C16265	NA	439174	NA	OVRNDRQMDRJTHS-RTRLPJTCSA-N	NA
M03010003.000	glucosamine	Carbohydrates	Aminosaccharides	Amino sugars	FALSE	C6H13NO5	179.0794	HMDB0001514	44201	3416-24-8	C00329	5417	441477	NA	MSWZFWKMSRAUBD-QZABAPFNSA-N	NA
M03010004.000	glucosamine 6-sulfate	Carbohydrates	Aminosaccharides	Amino sugars	FALSE	C6H13NO8S	259.0362	HMDB0000592	37324	91674-26-9	C04132	743540	72361	NA	MTDHILKWIRSIHB-QZABAPFNSA-N	NA
M03020001.000	gluconolactone	Carbohydrates	Monosaccharides	Gluconolactones	FALSE	C6H10O6	178.0477	HMDB0000150	37103	90-80-2	C00198	16217	7027	NA	PHOQVHQSTUBQQK-SQOUGZDYSA-N	NA
M03020002.000	6-phosphogluconate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C6H13O10P	276.0246	HMDB0001316	37723	921-62-0	C00345	48928	91493	NA	BIRSGZKFKXLSJQ-SQOUGZDYSA-N	NA
M03020003.000	glucose 6-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C6H13O9P	260.0297	HMDB0001401	37776	56-73-5	C00092	NA	NA	NA	NBSCHQHZLSJFNQ-GASJEMHNSA-N	NA
M03020004.000	fructose 6-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C6H13O9P	260.0297	HMDB0000124	69507	643-13-0	NA	15946	NA	NA	GSXOAOHZAIYLCY-HSUXUTPPSA-N	NA
M03020005.000	hexose phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	TRUE	C6H13O9P	260.0297	NA	NA	NA	NA	NA	NA	NA	NA	NA
M03020006.000	"fructose 1,6-biphosphate"	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C6H14O12P2	339.9961	HMDB0001058	49892	488-69-7	C00354	16905	172313	NA	RNBGYGVWRKECFJ-VRPWFDPXSA-N	NA
M03020007.000	glucosamine-6-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C6H14NO8P	259.0457	HMDB0001254	37685	3616-42-0	C00352	15873	439217	NA	XHMJOUIAFHJHBW-UKFBFLRUSA-N	NA
M03020008.000	ribose 5-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C5H11O8P	230.0192	HMDB0001548	37864	3615-55-2	C00117	52742	439167	NA	KTVPXOYAKDPRHY-SOOFDHNKSA-N	NA
M03020009.000	ribulose 5-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C5H11O8P	230.0192	HMDB0000618	50882	4151-19-3	C00199	17363	439184	NA	FNZLKVNUWIIPSJ-UHNVWZDZSA-N	NA
M03020010.000	PRPP	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C5H13O14P3	389.9518	HMDB0000280	37178	7540-64-9	C00119	17111	77339	NA	PQGCEDQWHSBAJP-TXICZTDVSA-N	NA
M03020011.000	xylulose-5-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C5H11O8P	389.9518	HMDB0000868	NA	NA	NA	NA	NA	NA	NA	NA
M03020012.000	erytrhrose 4-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C4H9O7P	200.0086	HMDB0001321	NA	NA	NA	NA	NA	NA	NA	NA
M03020013.000	sedoheptulose-7-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	FALSE	C7H15O10P	290.0403	HMDB0001068	NA	NA	NA	NA	NA	NA	NA	NA
M03020014.000	ribose 5-phosphate+ribulose 5-phosphate+xylulose 5-phosphate	Carbohydrates	Monosaccharides	Monosaccharide phosphates	TRUE	C5H11O8P	389.9518	NA	NA	NA	NA	NA	NA	NA	NA	NA
M03020015.000	glucose	Carbohydrates	Monosaccharides	Monosaccharides	FALSE	C6H12O6	180.0634	HMDB0000122	37084	50-99-7	C00031	4167	5793	NA	WQZGKKKJIJFFOK-GASJEMHNSA-N	NA
M03020016.000	hexose	Carbohydrates	Monosaccharides	Monosaccharides	TRUE	C6H12O6	180.0634	HMDB0000143	71389	59-23-4	C00984	28061	439357	NA	WQZGKKKJIJFFOK-PHYPRBDBSA-N	NA
M03020017.000	rhamnose	Carbohydrates	Monosaccharides	Monosaccharides	FALSE	C6H12O5	164.0685	HMDB0000849	37462	3615-41-6	C00507	62346	25310	NA	SHZGCJCMOBCMKK-JFNONXLTSA-N	NA
M03020018.000	gluconate	Carbohydrates	Monosaccharides	Sugar acids	FALSE	C6H12O7	196.0583	HMDB0000625	37337	526-95-4	C00257	33198	10690	NA	RGHNJXZEOKUKBD-SQOUGZDYSA-N	NA
M03020019.000	glycerate	Carbohydrates	Monosaccharides	Sugar acids	FALSE	C3H6O4	106.0266	HMDB0000139	37097	473-81-4	C00258	32398	439194	NA	RBNPOMFGQQGHHO-UWTATZPHSA-N	NA
M03020020.000	N-acetyl-alpha-neuraminate	Carbohydrates	Monosaccharides	Sugar acids	FALSE	C11H19NO9	309.106	HMDB0000230	37419	131-48-6	C19910	45744	444885	NA	SQVRNKJHWKZAKO-YRMXFSIDSA-N	NA
M03020021.000	N-acetylneuraminate	Carbohydrates	Monosaccharides	Sugar acids	FALSE	C11H19NO9	309.106	NA	49898	NA	NA	17012	439197	NA	SQVRNKJHWKZAKO-LUWBGTNYSA-N	NA
M03020022.000	L-arabitol	Carbohydrates	Monosaccharides	Sugar alcohols	FALSE	C5H12O5	152.0685	HMDB0001851	37890	7643-75-6	C00532	18403	439255	NA	HEBKCHPVOIAQTA-IMJSIDKUSA-N	NA
M04010000.000	non-esterified fatty acid	Fatty acyls	Fatty acids	class detection	FALSE	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
M04010001.000	FA(8:0)	Fatty acyls	Fatty acids	NA	FALSE	C8H16O2	144.115	HMDB0000482	30	0124-07-02	C06423	28837	379	NA	WWZKQHOCKIZLMA-UHFFFAOYSA-N	NA
M04010002.000	FA(9:0)	Fatty acyls	Fatty acids	NA	FALSE	C9H18O2	158.1307	HMDB0000847	31	112-05-0	C01601	29019	8158	NA	FBUKVWPVBMHYJY-UHFFFAOYSA-N	NA
M04010003.000	FA(10:0)	Fatty acyls	Fatty acids	NA	FALSE	C10H20O2	172.1463	HMDB0000511	32	334-48-5	C01571	30813	2969	NA	GHVNFZFCNZKVNT-UHFFFAOYSA-N	NA
M04010004.000	FA(12:0)	Fatty acyls	Fatty acids	NA	FALSE	C12H24O2	200.1776	HMDB0000638	34	0143-07-07	C02679	30805	3893	LMFA07070076	POULHZVOKOAJMA-UHFFFAOYSA-N	NA
M04010005.000	FA(12:1)	Fatty acyls	Fatty acids	NA	TRUE	C12H22O2	198.162	NA	644*	NA	NA	NA	NA	NA	PAWGRNGPMLVJQH-KHPPLWFESA-N*	NA
M04010006.000	FA(14:0)	Fatty acyls	Fatty acids	NA	FALSE	C14H28O2	228.2089	HMDB0000806	36	544-63-8	C06424	28875	NA	NA	TUNFSRHWOTWDNC-UHFFFAOYSA-N	NA
M04010007.000	FA(14:1)	Fatty acyls	Fatty acids	NA	TRUE	C14H26O2	226.1933	HMDB0002000	485	544-64-9	C08322	27781	NA	NA	YWWVWXASSLXJHU-WAYWQWQTSA-N*	NA
M04010008.000	FA(16:0)	Fatty acyls	Fatty acids	NA	FALSE	C16H32O2	256.2402	HMDB0039958	23	159733-92-3	NA	NA	NA	NA	IPCSVZSSVZVIGE-UHFFFAOYSA-N	NA
M04010009.000	FA(16:1)	Fatty acyls	Fatty acids	NA	TRUE	C16H30O2	254.2246	HMDB0003229	490	373-49-9	C08362	28716	NA	NA	SECPZKHBENQXJG-FPLPWBNLSA-N*	NA
