FormName	Field.Name	Alias..Field.Name.description.	Data.Type	Categorical.Values	Categorical.Definitions	Alt.Field.Name	Calculated.Created.variable..1.yes.	Continous.Range.Min	Continous.Range.Max
Animal Training	day28_score	Day 28 Score	int			Training.day28_score	NA	1	4
Animal Training	day28_comments	Day 28 Comments	varchar(MAX)			Training.day28_comments	NA	NA	NA
Animal Training	day29_days	[C] Day 29 Day (in relation to arrival date)	int			Training.day29_days	1	NA	NA
Animal Training	day29time	Day 29 Time	varchar			Training.day29time	NA	NA	NA
Animal Training	day29_treadmillspeed	Day 29 Treadmill Speed	numeric			Training.day29_treadmillspeed	NA	NA	NA
Animal Training	day29_treadmillincline	Day 29 Treadmill Incline	numeric			Training.day29_treadmillincline	NA	NA	NA
Animal Training	day29_timeontreadmill	Day 29 Time on Treadmill	int			Training.day29_timeontreadmill	NA	NA	NA
Animal Training	day29_weight	Day 29 Weight	numeric			Training.day29_weight	NA	NA	NA
Animal Training	day29_posttrainlact	Day 29 Post-training Lactate	numeric			Training.day29_posttrainlact	NA	NA	NA
Animal Training	day29_score	Day 29 Score	int			Training.day29_score	NA	1	4
Animal Training	day29_comments	Day 29 Comments	varchar(MAX)			Training.day29_comments	NA	NA	NA
Animal Training	day30_days	[C] Day 30 Day (in relation to arrival date)	int			Training.day30_days	1	NA	NA
Animal Training	day30time	Day 30 Time	varchar			Training.day30time	NA	NA	NA
Animal Training	day30_treadmillspeed	Day 30 Treadmill Speed	numeric			Training.day30_treadmillspeed	NA	NA	NA
Animal Training	day30_treadmillincline	Day 30 Treadmill Incline	numeric			Training.day30_treadmillincline	NA	NA	NA
Animal Training	day30_timeontreadmill	Day 30 Time on Treadmill	int			Training.day30_timeontreadmill	NA	NA	NA
Animal Training	day30_weight	Day 30 Weight	numeric			Training.day30_weight	NA	NA	NA
Animal Training	day30_posttrainlact	Day 30 Post-training Lactate	numeric			Training.day30_posttrainlact	NA	NA	NA
Animal Training	day30_score	Day 30 Score	int			Training.day30_score	NA	1	4
Animal Training	day30_comments	Day 30 Comments	varchar(MAX)			Training.day30_comments	NA	NA	NA
Animal Training	day31_days	[C] Day 31 Day (in relation to arrival date)	int			Training.day31_days	1	NA	NA
Animal Training	day31time	Day 31 Time	varchar			Training.day31time	NA	NA	NA
Animal Training	day31_treadmillspeed	Day 31 Treadmill Speed	numeric			Training.day31_treadmillspeed	NA	NA	NA
Animal Training	day31_treadmillincline	Day 31 Treadmill Incline	numeric			Training.day31_treadmillincline	NA	NA	NA
Animal Training	day31_timeontreadmill	Day 31 Time on Treadmill	int			Training.day31_timeontreadmill	NA	NA	NA
Animal Training	day31_weight	Day 31 Weight	numeric			Training.day31_weight	NA	NA	NA
Animal Training	day31_posttrainlact	Day 31 Post-training Lactate	numeric			Training.day31_posttrainlact	NA	NA	NA
Animal Training	day31_score	Day 31 Score	int			Training.day31_score	NA	1	4
Animal Training	day31_comments	Day 31 Comments	varchar(MAX)			Training.day31_comments	NA	NA	NA
Animal Training	day32_days	[C] Day 32 Day (in relation to arrival date)	int			Training.day32_days	1	NA	NA
Animal Training	day32time	Day 32 Time	varchar			Training.day32time	NA	NA	NA
Animal Training	day32_treadmillspeed	Day 32 Treadmill Speed	numeric			Training.day32_treadmillspeed	NA	NA	NA
Animal Training	day32_treadmillincline	Day 32 Treadmill Incline	numeric			Training.day32_treadmillincline	NA	NA	NA
Animal Training	day32_timeontreadmill	Day 32 Time on Treadmill	int			Training.day32_timeontreadmill	NA	NA	NA
Animal Training	day32_weight	Day 32 Weight	numeric			Training.day32_weight	NA	NA	NA
Animal Training	day32_posttrainlact	Day 32 Post-training Lactate	numeric			Training.day32_posttrainlact	NA	NA	NA
Animal Training	day32_score	Day 32 Score	int			Training.day32_score	NA	1	4
Animal Training	day32_comments	Day 32 Comments	varchar(MAX)			Training.day32_comments	NA	NA	NA
Animal Training	day33_days	[C] Day 33 Day (in relation to arrival date)	int			Training.day33_days	1	NA	NA
Animal Training	day33time	Day 33 Time	varchar			Training.day33time	NA	NA	NA
Animal Training	day33_treadmillspeed	Day 33 Treadmill Speed	numeric			Training.day33_treadmillspeed	NA	NA	NA
Animal Training	day33_treadmillincline	Day 33 Treadmill Incline	numeric			Training.day33_treadmillincline	NA	NA	NA
Animal Training	day33_timeontreadmill	Day 33 Time on Treadmill	int			Training.day33_timeontreadmill	NA	NA	NA
Animal Training	day33_weight	Day 33 Weight	numeric			Training.day33_weight	NA	NA	NA
Animal Training	day33_posttrainlact	Day 33 Post-training Lactate	numeric			Training.day33_posttrainlact	NA	NA	NA
Animal Training	day33_score	Day 33 Score	int			Training.day33_score	NA	1	4
Animal Training	day33_comments	Day 33 Comments	varchar(MAX)			Training.day33_comments	NA	NA	NA
Animal Training	day34_days	[C] Day 34 Day (in relation to arrival date)	int			Training.day34_days	1	NA	NA
Animal Training	day34time	Day 34 Time	varchar			Training.day34time	NA	NA	NA
Animal Training	day34_treadmillspeed	Day 34 Treadmill Speed	numeric			Training.day34_treadmillspeed	NA	NA	NA
Animal Training	day34_treadmillincline	Day 34 Treadmill incline	numeric			Training.day34_treadmillincline	NA	NA	NA
Animal Training	day34_timeontreadmill	Day 34 Time on Treadmill	int			Training.day34_timeontreadmill	NA	NA	NA
Animal Training	day34_weight	Day 34 Weight	numeric			Training.day34_weight	NA	NA	NA
Animal Training	day34_posttrainlact	Day 34 Post-training Lactate	numeric			Training.day34_posttrainlact	NA	NA	NA
Animal Training	day34_score	Day 34 Score	int			Training.day34_score	NA	1	4
Animal Training	day34_comments	Day 34 Comments	varchar(MAX)			Training.day34_comments	NA	NA	NA
Animal Training	day35_days	[C] Day 35 Day (in relation to arrival date)	int			Training.day35_days	1	NA	NA
Animal Training	day35time	Day 35 Time	varchar			Training.day35time	NA	NA	NA
Animal Training	day35_treadmillspeed	Day 35 Treadmill Speed	numeric			Training.day35_treadmillspeed	NA	NA	NA
Animal Training	day35_treadmillincline	Day 35 Treadmill Incline	numeric			Training.day35_treadmillincline	NA	NA	NA
Animal Training	day35_timeontreadmill	Day 35 Time on Treadmill	int			Training.day35_timeontreadmill	NA	NA	NA
Animal Training	day35_weight	Day 35 Weight	numeric			Training.day35_weight	NA	NA	NA
Animal Training	day35_posttrainlact	Day 35 Post-training Lactate	numeric			Training.day35_posttrainlact	NA	NA	NA
Animal Training	day35_score	Day 35 Score	int			Training.day35_score	NA	1	4
Animal Training	day35_comments	Day 35 Comments	varchar(MAX)			Training.day35_comments	NA	NA	NA
Animal Training	day36_days	[C] Day 36 Day (in relation to arrival date)	int			Training.day36_days	1	NA	NA
Animal Training	day36time	Day 36 Time	varchar			Training.day36time	NA	NA	NA
Animal Training	day36_treadmillspeed	Day 36 Treadmill Speed	numeric			Training.day36_treadmillspeed	NA	NA	NA
Animal Training	day36_treadmillincline	Day 36 Treadmill Incline	numeric			Training.day36_treadmillincline	NA	NA	NA
Animal Training	day36_timeontreadmill	Day 36 Time on Treadmill	int			Training.day36_timeontreadmill	NA	NA	NA
Animal Training	day36_weight	Day 36 Weight	numeric			Training.day36_weight	NA	NA	NA
Animal Training	day36_posttrainlact	Day 36 Post-training Lactate	numeric			Training.day36_posttrainlact	NA	NA	NA
Animal Training	day36_score	Day 36 Score	int			Training.day36_score	NA	1	4
Animal Training	day36_comments	Day 36 Comments	varchar(MAX)			Training.day36_comments	NA	NA	NA
Animal Training	day37_days	[C] Day 37 Day (in relation to arrival date)	int			Training.day37_days	1	NA	NA
Animal Training	day37time	Day 37 Time	varchar			Training.day37time	NA	NA	NA
Animal Training	day37_treadmillspeed	Day 37 Treadmill Speed	numeric			Training.day37_treadmillspeed	NA	NA	NA
Animal Training	day37_treadmillincline	Day 37 Treadmill Incline	numeric			Training.day37_treadmillincline	NA	NA	NA
Animal Training	day37_timeontreadmill	Day 37 Time on Treadmill	int			Training.day37_timeontreadmill	NA	NA	NA
Animal Training	day37_weight	Day 37 Weight	numeric			Training.day37_weight	NA	NA	NA
Animal Training	day37_posttrainlact	Day 37 Post-training Lactate	numeric			Training.day37_posttrainlact	NA	NA	NA
Animal Training	day37_score	Day 37 Score	int			Training.day37_score	NA	1	4
Animal Training	day37_comments	Day 37 Comments	varchar(MAX)			Training.day37_comments	NA	NA	NA
Animal Training	day38_days	[C] Day 38 Day (in relation to arrival date)	int			Training.day38_days	1	NA	NA
Animal Training	day38time	Day 38 Time	varchar			Training.day38time	NA	NA	NA
Animal Training	day38_treadmillspeed	Day 38 Treadmill Speed	numeric			Training.day38_treadmillspeed	NA	NA	NA
Animal Training	day38_treadmillincline	Day 38 Treadmill Incline	numeric			Training.day38_treadmillincline	NA	NA	NA
Animal Training	day38_timeontreadmill	Day 38 Time on Treadmill	int			Training.day38_timeontreadmill	NA	NA	NA
Animal Training	day38_weight	Day 38 Weight	numeric			Training.day38_weight	NA	NA	NA
Animal Training	day38_posttrainlact	Day 38 Post-training Lactate	numeric			Training.day38_posttrainlact	NA	NA	NA
Animal Training	day38_score	Day 38 Score	int			Training.day38_score	NA	1	4
Animal Training	day38_comments	Day 38 Comments	varchar(MAX)			Training.day38_comments	NA	NA	NA
Animal Training	day39_days	[C] Day 39 Day (in relation to arrival date)	int			Training.day39_days	1	NA	NA
Animal Training	day39time	Day 39 Time	varchar			Training.day39time	NA	NA	NA
Animal Training	day39_treadmillspeed	Day 39 Treadmill Speed	numeric			Training.day39_treadmillspeed	NA	NA	NA
Animal Training	day39_treadmillincline	Day 39 Treadmill Incline	numeric			Training.day39_treadmillincline	NA	NA	NA
Animal Training	day39_timeontreadmill	Day 39 Time on Treadmill	int			Training.day39_timeontreadmill	NA	NA	NA
Animal Training	day39_weight	Day 39 Weight	numeric			Training.day39_weight	NA	NA	NA
Animal Training	day39_posttrainlact	Day 39 Post-training Lactate	numeric			Training.day39_posttrainlact	NA	NA	NA
Animal Training	day39_score	Day 39 Score	int			Training.day39_score	NA	1	4
Animal Training	day39_comments	Day 39 Comments	varchar(MAX)			Training.day39_comments	NA	NA	NA
Animal Training	day40_days	[C] Day 40 Day (in relation to arrival date)	int			Training.day40_days	1	NA	NA
Animal Training	day40time	Day 40 Time	varchar			Training.day40time	NA	NA	NA
Animal Training	day40_treadmillspeed	Day 40 Treadmill Speed	numeric			Training.day40_treadmillspeed	NA	NA	NA
Animal Training	day40_treadmillincline	Day 40 Treadmill Incline	numeric			Training.day40_treadmillincline	NA	NA	NA
Animal Training	day40_timeontreadmill	Day 40 Time on Treadmill	int			Training.day40_timeontreadmill	NA	NA	NA
Animal Training	day40_weight	Day 40 Weight	numeric			Training.day40_weight	NA	NA	NA
Animal Training	day40_posttrainlact	Day 40 Post-training Lactate	numeric			Training.day40_posttrainlact	NA	NA	NA
Animal Training	day40_score	Day 40 Score	int			Training.day40_score	NA	1	4
Animal Training	day40_comments	Day 40 Comments	varchar(MAX)			Training.day40_comments	NA	NA	NA
Terminal Animal Body Muscle Weight Iowa	BW	Terminal body Weight (g)	varchar	NA	NA	Terminal.Weight.BW	NA	NA	NA
Terminal Animal Body Muscle Weight Iowa	LG	Terminal lateral gastrocnemius weight (mg)	varchar	NA	NA	Terminal.Weight.LG	NA	NA	NA
Terminal Animal Body Muscle Weight Iowa	MG	Terminal medial gastrocnemius weight (mg)	varchar	NA	NA	Terminal.Weight.MG	NA	NA	NA
Terminal Animal Body Muscle Weight Iowa	PL	Terminal plantaris weight (mg)	varchar	NA	NA	Terminal.Weight.PL	NA	NA	NA
Terminal Animal Body Muscle Weight Iowa	SOL	Terminal soleus weight (mg)	varchar	NA	NA	Terminal.Weight.SOL	NA	NA	NA
Animal VO2 Max Test	days_vo2	[C] What day (in relation to arrival date) did the rat start the VO2 max test?	int			VO2.Max.Test.days_vo2	1	NA	NA
Animal VO2 Max Test	t_vo2	What time did the rat start the VO2 max test?	varchar			VO2.Max.Test.t_vo2	NA	NA	NA
Animal VO2 Max Test	blactate_begin	Blood Lactate at the beginning of exercise	numeric			VO2.Max.Test.blactate_begin	NA	NA	NA
Animal VO2 Max Test	vo2_max	VO2 at max	numeric			VO2.Max.Test.vo2_max	NA	NA	NA
Animal VO2 Max Test	vco2_max	VCO2 at max	numeric			VO2.Max.Test.vco2_max	NA	NA	NA
Animal VO2 Max Test	rer_max	RER at max	numeric			VO2.Max.Test.rer_max	NA	NA	NA
Animal VO2 Max Test	speed_max	Max speed of running	numeric			VO2.Max.Test.speed_max	NA	NA	NA
Animal VO2 Max Test	t_complete	What time did the rat complete the VO2 max test?	varchar			VO2.Max.Test.t_complete	NA	NA	NA
Animal VO2 Max Test	blactate_end	Blood Lactate at end of exercise	numeric			VO2.Max.Test.blactate_end	NA	NA	NA
Animal VO2 Max Test	vo2_comments	Comments:	varchar(MAX)			VO2.Max.Test.vo2_comments	NA	NA	NA
Animal Specimen Collection	anesthesiaid	Administrator ID	int			Specimen.Collection.anesthesiaid	NA	NA	NA
Animal Specimen Collection	t_anesthesia	Administration Time	varchar			Specimen.Collection.t_anesthesia	NA	NA	NA
Animal Specimen Collection	anesthesiacomments	Comments/Volume	varchar(MAX)			Specimen.Collection.anesthesiacomments	NA	NA	NA
Animal Specimen Collection	bloodtype	Type	varchar			Specimen.Collection.bloodtype	NA	NA	NA
Animal Specimen Collection	bloodtube	Tube	varchar			Specimen.Collection.bloodtube	NA	NA	NA
Animal Specimen Collection	bloodcomplete	Complete	int	|1|2|3|4	|full|partial|N/A|Not	Specimen.Collection.bloodcomplete	NA	NA	NA
Animal Specimen Collection	bloodtechid	Collection Technician ID	int			Specimen.Collection.bloodtechid	NA	NA	NA
Animal Specimen Collection	t_bloodstart	Collection Start Time	varchar			Specimen.Collection.t_bloodstart	NA	NA	NA
Animal Specimen Collection	t_bloodstop	Collection Stop Time	varchar			Specimen.Collection.t_bloodstop	NA	NA	NA
Animal Specimen Collection	t_edtafill	EDTA Fill Time	varchar			Specimen.Collection.t_edtafill	NA	NA	NA
Animal Specimen Collection	bloodcomments	Comments/Volume	varchar(MAX)			Specimen.Collection.bloodcomments	NA	NA	NA
Animal Specimen Collection	t_death	Time of Death	varchar			Specimen.Collection.t_death	NA	NA	NA
Animal Specimen Collection	deathtype	Type of Death	int	|1|2	|Decapitation|Heart Removal	Specimen.Collection.deathtype	NA	NA	NA
Animal Specimen Collection	uterustype	Type:	varchar			Specimen.Collection.uterustype	NA	NA	NA
Animal Specimen Collection	uterustechid	UterusTechnician ID	int			Specimen.Collection.uterustechid	NA	NA	NA
Animal Specimen Collection	uteruscomplete	Complete	smallint	1|2|3|4	full|partial|N/A|Not	Specimen.Collection.uteruscomplete	NA	NA	NA
Animal Specimen Collection	t_uterusstart	Collection Start Time	varchar			Specimen.Collection.t_uterusstart	NA	NA	NA
Animal Specimen Collection	t_uterusstop	Collection Stop Time	varchar			Specimen.Collection.t_uterusstop	NA	NA	NA
Animal Specimen Collection	uterusweight	Weight	numeric			Specimen.Collection.uterusweight	NA	NA	NA
Animal Specimen Collection	uteruscomments	Comments/Volume	varchar(MAX)			Specimen.Collection.uteruscomments	NA	NA	NA
Animal Sample Processing	FormName	Form Name	varchar	Animal Sample Processing		Specimen.Processing.FormName	NA	NA	NA
Animal Sample Processing	visitcode	Visit	varchar			Specimen.Processing.visitcode	NA	NA	NA
Animal Sample Processing	siteid	Site Numeric ID	int	|910|930|940	|Joslin Diabetes Center|University of Florida|University of Iowa	Specimen.Processing.siteid	NA	NA	NA
Animal Sample Processing	sampletypedescription	Sample Type:	varchar			Specimen.Processing.sampletypedescription	NA	NA	NA
Animal Sample Processing	samplenumber	Sample Nbr:	int			Specimen.Processing.samplenumber	NA	NA	NA
Animal Sample Processing	timePoint	Timepoint	int			Specimen.Processing.timePoint	NA	NA	NA
Animal Sample Processing	aliquotdescription	Tube:	varchar			Specimen.Processing.aliquotdescription	NA	NA	NA
Animal Sample Processing	volume	Volume:	varchar	|Full|Partial|N/A|Not	|Full|Partial|N/A|Not	Specimen.Processing.volume	NA	NA	NA
Animal Sample Processing	partialamt	Partial Amount:	numeric			Specimen.Processing.partialamt	NA	NA	NA
Animal Sample Processing	hemolyzed	Hemolyzed:	int	|1|0	|Yes|No	Specimen.Processing.hemolyzed	NA	NA	NA
Animal Sample Processing	comments	Comments:	varchar			Specimen.Processing.comments	NA	NA	NA
Animal Sample Processing	t_collection	Collection Time:	varchar			Specimen.Processing.t_collection	NA	NA	NA
Animal Sample Processing	t_edtaspin	Spin Time:	varchar			Specimen.Processing.t_edtaspin	NA	NA	NA
Animal Sample Processing	t_freeze	Freeze Time:	varchar			Specimen.Processing.t_freeze	NA	NA	NA
Animal Sample Processing	techid	Tech ID:	varchar			Specimen.Processing.techid	NA	NA	NA
Animal Calculated Variables	wgt_gain_after_train	Weight gain after training (Variable: nmr_weight [CRF: Animal VO2 Max Test (Visit 2)] - Variable: weight [CRF: Animal Registration])	varchar	NA	NA	Calculated.Variables.wgt_gain_after_train	1	-62.1	73.9
Animal Calculated Variables	pct_body_fat_change	Percent body fat change after training (variable: nmr_fat [CRF: Animal NMR Testing (Visit 2)] - variable: nmr_fat [CRF: Animal NMR Testing (Visit 1)])	varchar	NA	NA	Calculated.Variables.pct_body_fat_change	1	-7.8	4.5
Animal Calculated Variables	pct_body_lean_change	Percent body lean change after training (variable: nmr_lean [CRF: Animal NMR Testing (Visit 2)] - variable: nmr_lean [CRF: Animal NMR Testing (Visit 1)])	varchar	NA	NA	Calculated.Variables.pct_body_lean_change	1	-5.5	6.9
Animal Calculated Variables	pct_body_fluid_change	Percent body fluid change after training (variable: nmr_fluid [CRF: Animal NMR Testing (Visit 2)] - variable: nmr_fluid [CRF: Animal NMR Testing (Visit 1)])	varchar	NA	NA	Calculated.Variables.pct_body_fluid_change	1	-1.6	86.5
Animal Calculated Variables	lactate_change_dueto_train	Lactate changes due to training:  (Variable: blactate_end [CRF: Animal VO2 Max Test (Visit 2)] - Variable: blactate_begin [CRF: Animal VO2 Max Test (Visit 1)])	varchar	NA	NA	Calculated.Variables.lactate_change_dueto_train	1	2.6	14.2
Animal Calculated Variables	vo2_max_change	Change of VO2 Max after training:  (Variable: vo2_max [CRF: Animal VO2 Max Test (Visit 2)] - Variable: vo2_max [CRF: Animal VO2 Max Test (Visit 1)])	varchar	NA	NA	Calculated.Variables.vo2_max_change	1	-17.17	18.87
Animal Calculated Variables	EDTA_coll_time_train	EDTA sample collection time after training (seconds):  (Variable: d_visit, t_edtafill [CRF: Animal Specimen Collection] - Variable: max date/time [CRF: Animal Training])	varchar	NA	NA	Calculated.Variables.EDTA_coll_time_train	1	86812	952278
Animal Calculated Variables	deathtime_after_train	Time of death after training (seconds):  (Variable: d_visit, t_death [CRF: Animal Specimen Collection] Variable: max date/time [CRF: Animal Training])	varchar	NA	NA	Calculated.Variables.deathtime_after_train	1	87085	952515
Animal Calculated Variables	frozetime_after_train	Sample frozen time after training (seconds):  (Variable: d_visit [CRF: Animal Specimen Collection], t_freeze [CRF: Animal Specimen Processing] Variable: max date/time [CRF: Animal Training])	varchar	NA	NA	Calculated.Variables.frozetime_after_train	1	86941	959518
